Index,Label,LabelPred,Accuracy
1,5,5,1
2,0,0,1
3,4,4,1
4,1,1,1
5,9,9,1
6,2,2,1
7,1,1,1
8,3,3,1
9,1,1,1
10,4,4,1
11,3,3,1
12,5,5,1
13,3,3,1
14,6,6,1
15,1,1,1
16,7,7,1
17,2,2,1
18,8,8,1
19,6,6,1
20,9,9,1
21,4,4,1
22,0,0,1
23,9,7,0
24,1,1,1
25,1,2,0
26,2,3,0
27,4,9,0
28,3,3,1
29,2,2,1
30,7,7,1
31,3,3,1
32,8,8,1
33,6,6,1
34,9,7,0
35,0,0,1
36,5,5,1
37,6,6,1
38,0,0,1
39,7,2,0
40,6,6,1
41,1,1,1
42,8,8,1
43,7,7,1
44,9,9,1
45,3,3,1
46,9,9,1
47,8,8,1
48,5,5,1
49,9,3,0
50,3,3,1
51,3,3,1
52,0,0,1
53,7,7,1
54,4,4,1
55,9,4,0
56,8,8,1
57,0,0,1
58,9,9,1
59,4,4,1
60,1,1,1
61,4,4,1
62,4,4,1
63,6,6,1
64,0,0,1
65,4,4,1
66,5,5,1
67,6,6,1
68,1,1,1
69,0,0,1
70,0,0,1
71,1,1,1
72,7,7,1
73,1,1,1
74,6,6,1
75,3,3,1
76,0,0,1
77,2,2,1
78,1,1,1
79,1,1,1
80,7,7,1
81,9,0,0
82,0,0,1
83,2,2,1
84,6,6,1
85,7,7,1
86,8,8,1
87,3,3,1
88,9,9,1
89,0,0,1
90,4,4,1
91,6,6,1
92,7,7,1
93,4,4,1
94,6,6,1
95,8,8,1
96,0,0,1
97,7,7,1
98,8,8,1
99,3,3,1
100,1,1,1
101,5,5,1
102,7,7,1
103,1,1,1
104,7,7,1
105,1,1,1
106,1,1,1
107,6,6,1
108,3,3,1
109,0,0,1
110,2,2,1
111,9,9,1
112,3,3,1
113,1,1,1
114,1,1,1
115,0,0,1
116,4,4,1
117,9,9,1
118,2,2,1
119,0,0,1
120,0,0,1
121,2,2,1
122,0,0,1
123,2,2,1
124,7,7,1
125,1,1,1
126,8,8,1
127,6,6,1
128,4,4,1
129,1,1,1
130,6,6,1
131,3,3,1
132,4,9,0
133,5,1,0
134,9,9,1
135,1,4,0
136,3,3,1
137,3,3,1
138,8,8,1
139,5,5,1
140,4,4,1
141,7,7,1
142,7,7,1
143,4,4,1
144,2,2,1
145,8,8,1
146,5,5,1
147,8,8,1
148,6,6,1
149,7,7,1
150,3,3,1
151,4,4,1
152,6,6,1
153,1,1,1
154,9,9,1
155,9,9,1
156,6,6,1
157,0,0,1
158,3,3,1
159,7,7,1
160,2,2,1
161,8,8,1
162,2,2,1
163,9,9,1
164,4,4,1
165,4,4,1
166,6,6,1
167,4,4,1
168,9,9,1
169,7,7,1
170,0,0,1
171,9,9,1
172,2,2,1
173,9,9,1
174,5,5,1
175,1,1,1
176,5,5,1
177,9,7,0
178,1,1,1
179,2,5,0
180,3,2,0
181,2,2,1
182,3,3,1
183,5,5,1
184,9,9,1
185,1,1,1
186,7,7,1
187,6,6,1
188,2,2,1
189,8,8,1
190,2,2,1
191,2,2,1
192,5,5,1
193,0,0,1
194,7,7,1
195,4,4,1
196,9,9,1
197,7,7,1
198,8,8,1
199,3,3,1
200,2,2,1
201,1,1,1
202,1,1,1
203,8,8,1
204,3,3,1
205,6,6,1
206,1,1,1
207,0,0,1
208,3,2,0
209,1,1,1
210,0,0,1
211,0,0,1
212,1,1,1
213,7,7,1
214,2,2,1
215,7,7,1
216,3,3,1
217,0,0,1
218,4,4,1
219,6,6,1
220,5,5,1
221,2,2,1
222,6,6,1
223,4,4,1
224,7,7,1
225,1,7,0
226,8,8,1
227,9,9,1
228,9,9,1
229,3,9,0
230,0,0,1
231,7,7,1
232,1,1,1
233,0,4,0
234,2,2,1
235,0,5,0
236,3,3,1
237,5,5,1
238,4,4,1
239,6,6,1
240,5,5,1
241,8,1,0
242,6,6,1
243,3,3,1
244,7,7,1
245,5,8,0
246,8,8,1
247,0,5,0
248,9,9,1
249,1,1,1
250,0,0,1
251,3,2,0
252,1,1,1
253,2,2,1
254,2,2,1
255,3,3,1
256,3,3,1
257,6,6,1
258,4,4,1
259,7,7,1
260,5,5,1
261,0,0,1
262,6,6,1
263,2,2,1
264,7,7,1
265,9,4,0
266,8,8,1
267,5,5,1
268,9,7,0
269,2,7,0
270,1,1,1
271,1,1,1
272,4,4,1
273,4,4,1
274,5,5,1
275,6,6,1
276,4,4,1
277,1,1,1
278,2,2,1
279,5,5,1
280,3,3,1
281,9,9,1
282,3,3,1
283,9,4,0
284,0,0,1
285,5,3,0
286,9,9,1
287,6,6,1
288,5,5,1
289,7,7,1
290,4,4,1
291,1,1,1
292,3,3,1
293,4,4,1
294,0,0,1
295,4,4,1
296,8,8,1
297,0,0,1
298,4,4,1
299,3,3,1
300,6,6,1
301,8,8,1
302,7,7,1
303,6,6,1
304,0,0,1
305,9,7,0
306,7,7,1
307,5,5,1
308,7,7,1
309,2,2,1
310,1,1,1
311,1,1,1
312,6,6,1
313,8,6,0
314,9,9,1
315,4,4,1
316,1,1,1
317,5,5,1
318,2,2,1
319,2,2,1
320,9,9,1
321,0,0,1
322,3,3,1
323,9,9,1
324,6,6,1
325,7,7,1
326,2,2,1
327,0,0,1
328,3,3,1
329,5,5,1
330,4,4,1
331,3,3,1
332,6,6,1
333,5,5,1
334,8,8,1
335,9,9,1
336,5,5,1
337,4,4,1
338,7,7,1
339,4,4,1
340,2,2,1
341,7,7,1
342,3,3,1
343,4,4,1
344,8,8,1
345,9,4,0
346,1,1,1
347,9,9,1
348,2,2,1
349,8,8,1
350,7,7,1
351,9,9,1
352,1,1,1
353,8,8,1
354,7,7,1
355,4,4,1
356,1,1,1
357,3,3,1
358,1,1,1
359,1,1,1
360,0,0,1
361,2,2,1
362,3,3,1
363,9,9,1
364,4,4,1
365,9,6,0
366,2,2,1
367,1,1,1
368,6,6,1
369,8,2,0
370,4,4,1
371,7,7,1
372,7,7,1
373,4,4,1
374,4,4,1
375,9,4,0
376,2,2,1
377,5,8,0
378,7,7,1
379,2,2,1
380,4,4,1
381,4,4,1
382,2,2,1
383,1,1,1
384,9,9,1
385,7,4,0
386,2,2,1
387,8,3,0
388,7,7,1
389,6,6,1
390,9,9,1
391,2,2,1
392,2,2,1
393,3,3,1
394,8,8,1
395,1,1,1
396,6,6,1
397,5,9,0
398,1,1,1
399,1,1,1
400,0,0,1
401,2,2,1
402,6,9,0
403,4,4,1
404,5,5,1
405,8,8,1
406,3,3,1
407,1,1,1
408,5,5,1
409,1,1,1
410,9,9,1
411,2,2,1
412,7,7,1
413,4,4,1
414,4,4,1
415,4,4,1
416,8,8,1
417,1,1,1
418,5,5,1
419,8,5,0
420,9,9,1
421,5,9,0
422,6,6,1
423,7,7,1
424,9,9,1
425,9,9,1
426,3,9,0
427,7,7,1
428,0,0,1
429,9,9,1
430,0,0,1
431,6,6,1
432,6,6,1
433,2,2,1
434,3,3,1
435,9,9,1
436,0,0,1
437,7,7,1
438,5,5,1
439,4,4,1
440,8,8,1
441,0,8,0
442,9,9,1
443,4,4,1
444,1,1,1
445,2,7,0
446,8,8,1
447,7,7,1
448,1,1,1
449,2,2,1
450,6,6,1
451,1,1,1
452,0,0,1
453,3,3,1
454,0,0,1
455,1,1,1
456,1,1,1
457,8,8,1
458,2,2,1
459,0,0,1
460,3,3,1
461,9,9,1
462,4,4,1
463,0,0,1
464,5,5,1
465,0,0,1
466,6,6,1
467,1,1,1
468,7,7,1
469,7,7,1
470,8,8,1
471,1,5,0
472,9,9,1
473,2,1,0
474,0,0,1
475,5,5,1
476,1,1,1
477,2,2,1
478,2,2,1
479,7,7,1
480,3,3,1
481,5,8,0
482,4,4,1
483,9,9,1
484,7,7,1
485,1,1,1
486,8,8,1
487,3,3,1
488,9,9,1
489,6,6,1
490,0,0,1
491,3,3,1
492,1,1,1
493,1,1,1
494,2,2,1
495,6,0,0
496,3,3,1
497,5,5,1
498,7,7,1
499,6,6,1
500,8,8,1
501,3,7,0
502,9,9,1
503,5,5,1
504,8,8,1
505,5,5,1
506,7,7,1
507,6,6,1
508,1,1,1
509,1,1,1
510,3,7,0
511,1,1,1
512,7,7,1
513,5,8,0
514,5,5,1
515,5,5,1
516,2,2,1
517,5,5,1
518,8,8,1
519,7,2,0
520,0,0,1
521,9,9,1
522,7,7,1
523,7,7,1
524,5,5,1
525,0,0,1
526,9,9,1
527,0,0,1
528,0,0,1
529,8,8,1
530,9,9,1
531,2,2,1
532,4,4,1
533,8,8,1
534,1,1,1
535,6,6,1
536,1,1,1
537,6,6,1
538,5,5,1
539,1,1,1
540,8,8,1
541,3,8,0
542,4,4,1
543,0,0,1
544,5,5,1
545,5,5,1
546,8,8,1
547,3,3,1
548,6,4,0
549,2,2,1
550,3,3,1
551,9,9,1
552,2,2,1
553,1,1,1
554,1,1,1
555,5,5,1
556,2,2,1
557,1,1,1
558,3,3,1
559,2,8,0
560,8,2,0
561,7,7,1
562,3,3,1
563,7,7,1
564,2,2,1
565,4,4,1
566,6,6,1
567,9,9,1
568,7,7,1
569,2,2,1
570,4,4,1
571,2,2,1
572,8,8,1
573,1,1,1
574,1,1,1
575,3,3,1
576,8,8,1
577,4,7,0
578,0,0,1
579,6,6,1
580,5,5,1
581,9,9,1
582,3,3,1
583,0,0,1
584,9,9,1
585,2,6,0
586,4,4,1
587,7,7,1
588,1,1,1
589,2,8,0
590,9,9,1
591,4,4,1
592,2,2,1
593,6,6,1
594,1,1,1
595,8,3,0
596,9,9,1
597,0,0,1
598,6,6,1
599,6,6,1
600,7,7,1
601,9,9,1
602,9,9,1
603,8,8,1
604,0,0,1
605,1,1,1
606,4,6,0
607,4,4,1
608,6,6,1
609,7,9,0
610,1,1,1
611,5,7,0
612,7,7,1
613,0,0,1
614,3,3,1
615,5,5,1
616,8,8,1
617,4,4,1
618,7,7,1
619,1,1,1
620,2,2,1
621,5,5,1
622,9,9,1
623,5,5,1
624,6,6,1
